question,questionduration
1093,93.74768
1094,94.1453
1095,124.13952
1096,104.91171
1097,117.12332
1098,26.08184
1099,94.88784
1100,103.44198
1101,116.11201
1102,24.2138
1103,110.41859
1104,96.91118
1105,5.83783
1106,113.64046
1108,43.41083
1109,102.93321
1110,95.96553
1111,105.8204
1113,112.78039
1115,64.74917
1116,103.4414
1117,87.36377
1118,100.86174
1119,110.41428
1124,128.95162
1126,85.11442
1127,86.85515
1128,86.85289
1129,60.12508
1130,75.7064
1131,36.4962
1132,36.49606
1133,86.86262
1136,86.85966
1137,93.8256
1139,92.07838
1140,32.05707
1141,76.42312
1142,68.20912
1143,85.01977
1151,75.27282
1155,74.93662
1156,79.67514
1157,78.24578
1159,73.10183
1160,12.12593
1161,83.12488
1162,68.58622
1163,79.69316
1164,104.49104
1167,70.32032
1171,130.01645
1211,4.25181
1212,4.25175
1217,4.25053
1218,4.25183
1232,17.16721
1266,5.80582
1297,3.2721
1303,32.87158
1327,39.88591
1332,39.41494
1333,39.4167
1334,37.6918
1337,38.6234
1339,38.66601
1340,26.9133
1341,37.49404
1344,35.78987
1345,33.82691
1346,35.74445
1347,35.74217
1349,36.70458
1351,35.77764
1352,35.79545
1354,17.91748
1355,27.87222
1356,27.87607
1357,27.88737
