question_id,TBS,QBS,tradeduration,SumofPrevious,questionduration,DaystoClose,categoryid
5,0,0,11.70138889,11.70138889,326.63628,314.9348911,2
5,0,0,7.1625,18.86388889,326.63628,307.7723911,2
5,0.02,0.00121,20.20208333,39.06597222,326.63628,287.5703078,2
5,0.004999995,8.00E-05,5.065277778,44.13125,326.63628,282.50503,2
5,0.03125,0.00378,40.26875,84.4,326.63628,242.23628,2
5,0.031250008,0.00198,21.15416667,105.5541667,326.63628,221.0821133,2
5,0.03125,0,0.000694444,105.5548611,326.63628,221.0814189,2
5,0.03125,0,0,105.5548611,326.63628,221.0814189,2
5,0.03125,0.00203,21.68472222,127.2395833,326.63628,199.3966967,2
5,0.053722752,0.00755,46.84722222,174.0868056,326.63628,152.5494744,2
5,0.034820127,0,0.043055556,174.1298611,326.63628,152.5064189,2
5,0.008705025,1.00E-05,0.25,174.3798611,326.63628,152.2564189,2
5,0.0005789,0,2.225694444,176.6055556,326.63628,150.0307244,2
5,3.60E-15,0,0,176.6055556,326.63628,150.0307244,2
5,0.001799996,0,0.000694444,176.60625,326.63628,150.03003,2
5,0.004999995,0,0.2,176.80625,326.63628,149.83003,2
5,0.004999995,0,0.05625,176.8625,326.63628,149.77378,2
5,0.000495005,1.00E-05,4.397222222,181.2597222,326.63628,145.3765578,2
5,0.000380593,0,0.182638889,181.4423611,326.63628,145.1939189,2
5,0.000380593,0,2.988888889,184.43125,326.63628,142.20503,2
5,0.000380593,0,3.570138889,188.0013889,326.63628,138.6348911,2
5,0.005000008,0,0.159722222,188.1611111,326.63628,138.4751689,2
5,0.004523139,4.00E-05,2.832638889,190.99375,326.63628,135.64253,2
5,0.004523139,0,0.140972222,191.1347222,326.63628,135.5015578,2
5,0.000828029,0,0.054861111,191.1895833,326.63628,135.4466967,2
5,0.000529372,0,0.044444444,191.2340278,326.63628,135.4022522,2
5,0.000529372,0,0.019444444,191.2534722,326.63628,135.3828078,2
5,0.002671524,3.00E-05,3.860416667,195.1138889,326.63628,131.5223911,2
5,0.00179999,0,0.069444444,195.1833333,326.63628,131.4529467,2
5,0.001506478,0,0.00625,195.1895833,326.63628,131.4466967,2
5,1.20E-05,0,0.204166667,195.39375,326.63628,131.24253,2
5,0.004999998,0,0.032638889,195.4263889,326.63628,131.2098911,2
5,0.004185413,0,0.0375,195.4638889,326.63628,131.1723911,2
5,0.003200002,2.00E-05,2.363888889,197.8277778,326.63628,128.8085022,2
5,0.001799996,0,0.569444444,198.3972222,326.63628,128.2390578,2
5,0.00180001,0,0.027777778,198.425,326.63628,128.21128,2
5,0.000514238,0,0.03125,198.45625,326.63628,128.18003,2
5,0.001218635,0,0.000694444,198.4569444,326.63628,128.1793356,2
5,0.006429637,8.00E-05,3.981944444,202.4388889,326.63628,124.1973911,2
5,0.0070373,0,0.015277778,202.4541667,326.63628,124.1821133,2
5,0.007463345,0.0002,9.085416667,211.5395833,326.63628,115.0966967,2
5,0.000757095,1.00E-05,4.661111111,216.2006944,326.63628,110.4355856,2
5,0.000757095,1.00E-05,2.378472222,218.5791667,326.63628,108.0571133,2
5,0.033525977,0.00046,4.556944444,223.1361111,326.63628,103.5001689,2
5,0.110357664,0,0.004166667,223.1402778,326.63628,103.4960022,2
5,0.045000024,0.00092,6.823611111,229.9638889,326.63628,96.67239112,2
5,0.0338,0,0.000694444,229.9645833,326.63628,96.67169667,2
5,0.0338,1.00E-05,0.09375,230.0583333,326.63628,96.57794667,2
5,0.00286788,0,0.054166667,230.1125,326.63628,96.52378001,2
5,0.001385286,0,0.0625,230.175,326.63628,96.46128001,2
5,0.005000014,0,0.028472222,230.2034722,326.63628,96.43280778,2
5,0.007199989,0,0.015972222,230.2194444,326.63628,96.41683556,2
5,0.013793691,0,0.002083333,230.2215278,326.63628,96.41475223,2
5,0.016200011,0,0.020833333,230.2423611,326.63628,96.3939189,2
5,0.016146969,0,0.001388889,230.24375,326.63628,96.39253001,2
5,0.019999972,1.00E-05,0.094444444,230.3381944,326.63628,96.29808556,2
