NumberofTrades,AverageQBS,StDev,SqrtNumRows,SdoverSqrtNum,TimesZ,UpperBound,LowerBound
1,0.33475805257036995,0.06062305506131438,23.2379000772445,0.002608800918318732,0.005113249799904715,0.3398713023702747,0.3296448027704652
5,0.31793017212712127,0.2695915675698408,22.360679774997898,0.012056501424937836,0.02363074279287816,0.3415609149199994,0.29429942933424313
10,0.30123012944031397,0.2769310367894846,20.37154878746336,0.013594009943903126,0.02664425949005013,0.3278743889303641,0.27458586995026385
15,0.2991887092576829,0.27834158471453996,19.467922333931785,0.014297446843076935,0.02802299581243079,0.3272117050701137,0.27116571344525214
20,0.2960708876398334,0.26718082127584003,19,0.014062148488202107,0.02756181103687613,0.3236326986767095,0.2685090766029573
25,0.2960583685055418,0.2694859014810093,18.627936010197157,0.014466761177056304,0.028354851907030354,0.32441322041257215,0.26770351659851144
30,0.29469112458902014,0.2690072650521797,18.303005217723125,0.01469743694285216,0.028806976407990233,0.3234981009970104,0.2658841481810299
35,0.2929809947089155,0.2677249508184503,17.86057109949175,0.014989719495927476,0.029379850212017854,0.3223608449209333,0.26360114449689764
40,0.29175802980083715,0.2708534688616925,17.52141546793523,0.015458423970218804,0.030298510981628855,0.322056540782466,0.2614595188192083
45,0.2899569969051605,0.2647134958357846,17.26267650163207,0.015334441088017708,0.03005550453251471,0.32001250143767523,0.2599014923726458
50,0.28846644979367964,0.2615855210920807,17.029386365926403,0.015360830711755973,0.030107228195041705,0.3185736779887213,0.25835922159863794
55,0.28363381536766386,0.2592641816697809,16.822603841260722,0.015411655895616161,0.030206845555407674,0.3138406609230715,0.2534269698122562
60,0.2772277248791009,0.2546842231414064,16.61324772583615,0.015330188735182304,0.030047169920957316,0.3072748948000582,0.2471805549581436
65,0.2716914491586666,0.24995374546414287,16.431676725154983,0.015211700524846184,0.02981493302869852,0.30150638218736514,0.24187651612996808
70,0.26380313113899767,0.24571855375691695,16.24807680927192,0.015122931571612113,0.029640945880359742,0.29344407701935743,0.23416218525863794
75,0.2587000451753647,0.24437409996310078,15.905973720586866,0.015363668031640906,0.030112789342016173,0.2888128345173809,0.22858725583334855
80,0.2582297904046485,0.2426451529337776,15.491933384829668,0.015662677272507874,0.03069884745411543,0.28892863785876394,0.22753094295053305
85,0.2579171033915938,0.2423703370052385,14.933184523068078,0.0162303182305714,0.03181142373191994,0.2897285271235137,0.22610567965967385
90,0.27111897218517306,0.2447276648745108,13.92838827718412,0.017570422363612268,0.034438027832680046,0.30555700001785313,0.236680944352493
95,0.2864900850515033,0.24660392235324627,13.114877048604,0.018803372798641353,0.036854610685337054,0.3233446957368404,0.24963547436616626
100,0.2908280689028254,0.24734453622499275,12.609520212918492,0.019615697667194943,0.03844676742770209,0.3292748363305275,0.25238130147512333
105,0.29782484576877166,0.24809396143124984,12.041594578792296,0.0206030820758734,0.04038204086871186,0.33820688663748355,0.2574428049000598
110,0.2903377815842161,0.24948583623082204,11.489125293076057,0.021714954782604306,0.04256131137390444,0.33289909295812053,0.24777647021031163
115,0.2844251607552524,0.2412783471924904,11.224972160321824,0.02149478357241403,0.042129775801931495,0.32655493655718393,0.24229538495332092
120,0.28477510765171704,0.245214210967951,10.908712114635714,0.02247874986442794,0.044058349734278766,0.3288334573859958,0.24071675791743827
125,0.2820423230571457,0.25103581793495344,10.44030650891055,0.024044870495008974,0.04712794617021759,0.3291702692273633,0.23491437688692812
130,0.2905347913640512,0.2524424750659032,10.14889156509222,0.0248738961734694,0.04875283650000003,0.3392876278640512,0.24178195486405116
135,0.2929266600451952,0.2508853653916954,9.797958971132712,0.025605880380890324,0.050187525546545035,0.34311418559174023,0.24273913449865014
140,0.291329876745136,0.2558247502757672,9.486832980505138,0.026966296423840432,0.052853940990727245,0.34418381773586326,0.23847593575440876
145,0.29587182727376066,0.25905297511769376,9.273618495495704,0.027934400713542248,0.0547514253985428,0.35062325267230343,0.24112040187521785
150,0.29693181601313995,0.25677052165344477,9.055385138137417,0.028355560557224335,0.0555768986921597,0.35250871470529965,0.24135491732098024
155,0.3003261982761695,0.2561838310116432,8.774964387392123,0.02919485706172533,0.05722191984098165,0.35754811811715115,0.24310427843518786
160,0.299279621303035,0.2555139817489904,8.54400374531753,0.029905649548553008,0.058615073115163896,0.3578946944181989,0.24066454818787109
165,0.30049734839334796,0.2520449440864697,8.18535277187245,0.03079219077186002,0.06035269391284564,0.3608500423061936,0.24014465448050232
170,0.3008223084420187,0.25385953682989676,8.06225774829855,0.031487400273635634,0.06171530453632584,0.3625376129783445,0.23910700390569284
175,0.30855509219189714,0.2633059228569392,7.615773105863909,0.03457376148118197,0.06776457250311665,0.37631966469501377,0.24079051968878049
180,0.3094059271754513,0.26454620679282115,7.483314773547883,0.03535147388533521,0.06928888881525701,0.3786948159907083,0.24011703836019427
185,0.3042553859839165,0.2661543460413154,7.416198487095663,0.035888244699009794,0.07034095961005919,0.3745963455939757,0.2339144263738573
190,0.3066157109183945,0.26903131712209183,7.280109889280518,0.03695429343974913,0.0724304151419083,0.3790461260603028,0.23418529577648622
195,0.28225428374139433,0.2533953356760664,6.928203230275509,0.036574466315993134,0.07168595397934655,0.3539402377207409,0.21056832976204778
200,0.28343623604697626,0.25286958964421785,6.855654600401044,0.03688482054352992,0.07229424826531865,0.3557304843122949,0.2111419877816576
205,0.2907239264019337,0.2615206296341508,6.557438524302,0.039881522131690605,0.07816778337811359,0.36889170978004726,0.2125561430238201
210,0.2876306861171839,0.2658884073620298,6.324555320336759,0.04204064853493482,0.08239967112847224,0.37003035724565614,0.20523101498871166
