NVL,ForPlot,StDev,SqrtNumRows,SdoverSqrtNum,TimesZ,UpperBound,LowerBound,Trend
0.63,0.747674283,0.440468109,81.03702857,0.005435393,0.010653371,0.758327654,0.737020913,0.63
0.64,0.73230789,0.435567495,80.31811751,0.005423029,0.010629137,0.742937028,0.721678753,0.64
0.65,0.7159786,0.420785864,79.12016178,0.005318314,0.010423895,0.726402496,0.705554705,0.65
0.66,0.808607158,0.419093526,78.40918314,0.005344955,0.010476111,0.819083269,0.798131047,0.66
0.67,0.775290358,0.412380952,77.92945528,0.005291721,0.010371774,0.785662132,0.764918585,0.67
0.68,0.79716189,0.407495507,77.79460136,0.005238095,0.010266666,0.807428556,0.786895224,0.68
0.69,0.827340828,0.400504144,77.9166221,0.005140163,0.01007472,0.837415547,0.817266108,0.69
0.7,0.809915425,0.390272073,79.52358141,0.004907627,0.009618949,0.819534374,0.800296476,0.7
0.71,0.787897958,0.390007189,80.37412519,0.004852397,0.009510699,0.797408656,0.778387259,0.7
0.72,0.828823582,0.383738531,79.13279977,0.004849298,0.009504624,0.838328206,0.819318957,0.72
0.73,0.826934218,0.377922226,80.89499366,0.004671763,0.009156655,0.836090873,0.817777562,0.73
0.74,0.847235819,0.377884456,81.23422924,0.004651789,0.009117506,0.856353325,0.838118314,0.74
0.75,0.820330623,0.376693073,81.44937078,0.004624874,0.009064753,0.829395376,0.81126587,0.75
0.76,0.813816253,0.372257118,81.60269603,0.004561824,0.008941175,0.822757427,0.804875078,0.76
0.77,0.854409334,0.370792253,81.27115109,0.004562409,0.008942322,0.863351657,0.845467012,0.77
0.78,0.869698665,0.365383056,80.96912992,0.004512622,0.008844739,0.878543404,0.860853927,0.78
0.79,0.828306499,0.36292435,80.4673847,0.004510204,0.008840001,0.837146499,0.819466498,0.79
0.8,0.822288557,0.346923998,79.7057087,0.004352561,0.008531021,0.830819577,0.813757536,0.8
0.81,0.859835907,0.341301108,78.74007874,0.004334528,0.008495676,0.868331583,0.851340231,0.81
0.82,0.846733412,0.335382001,77.85884664,0.004307564,0.008442826,0.855176238,0.838290586,0.82
0.83,0.899485738,0.329281202,77.7431669,0.0042355,0.00830158,0.907787318,0.891184157,0.83
0.84,0.879939544,0.321060703,77.67238892,0.004133524,0.008101708,0.888041252,0.871837837,0.84
0.85,0.916797407,0.303565073,76.64202503,0.003960817,0.007763202,0.924560609,0.909034205,0.85
0.86,0.878206389,0.291693316,77.7367352,0.003752323,0.007354552,0.885560941,0.870851836,0.86
0.87,0.928340843,0.278605842,78.61297603,0.003544019,0.006946276,0.93528712,0.921394567,0.87
0.88,0.914352516,0.269977281,79.52358141,0.003394934,0.00665407,0.921006586,0.907698446,0.88
0.89,0.915533434,0.258386646,81.3019065,0.003178113,0.006229101,0.921762536,0.909304333,0.89
0.9,0.90626216,0.248580044,81.64557551,0.003044624,0.005967462,0.912229623,0.900294698,0.9
0.91,0.948542028,0.237415689,83.87490686,0.002830593,0.005547961,0.95408999,0.942994067,0.91
0.92,0.944858962,0.232069606,86.82741503,0.002672769,0.005238627,0.950097589,0.939620335,0.92
0.93,0.958271892,0.216700016,90.5704146,0.002392614,0.004689523,0.962961415,0.953582369,0.93
0.94,0.961319339,0.21322013,93.7016542,0.002275522,0.004460022,0.965779361,0.956859317,0.94
0.95,0.953159776,0.200659079,91.14823092,0.002201459,0.004314859,0.957474636,0.948844917,0.95
0.96,0.959061502,0.198470413,87.44712688,0.002269605,0.004448425,0.963509928,0.954613077,0.95
0.97,0.958312492,0.19519498,83.51047838,0.002337371,0.004581247,0.96289374,0.953731245,0.97
0.98,0.975773433,0.194362818,79.7057087,0.002438506,0.004779471,0.980552904,0.970993962,0.98
0.99,0.950907973,0.194282525,75,0.002590434,0.00507725,0.955985223,0.945830723,0.99
1,0.966830037,0.18990905,67.69785816,0.002805245,0.005498279,0.972328316,0.961331757,1
