NVL,ForPlot,StDev,SqrtNumRows,SdoverSqrtNum,TimesZ,UpperBound,LowerBound
0,0.03316994845073396,,,,,,
0.01,0.04909202809692438,0.19441521009683485,79.68061244744545,0.0024399311717773794,0.004782265096683664,0.05387429319360804,0.04430976300024072
0.02,0.02422657044310475,0.19441521009683485,79.68061244744545,0.0024399311717773794,0.004782265096683664,0.029008835539788412,0.019444305346421088
0.03,0.04173979339753641,0.19532286911173516,83.4445923951936,0.0023407492745208228,0.004587868578060813,0.04632766197559722,0.0371519248194756
0.04,0.04100746070283604,0.19844954306073304,87.45856161634491,0.0022690693671738285,0.004447375959660704,0.04545483666249674,0.03656008474317534
0.05,0.04925452624799199,0.20148637447243847,88.44772467395643,0.00227802778664092,0.004464934461816204,0.053719460709808195,0.04478959178617578
0.06,0.036812848655440475,0.2166291997297666,90.48756820690895,0.0023940216763746166,0.004692282485694249,0.04150513114113472,0.03212056616974623
0.07,0.04232598318078179,0.2319777374617645,86.76404785393545,0.0026736619971015154,0.00524037751431897,0.04756636069510076,0.03708560566646282
0.08,0.054161685731778486,0.23582254928807467,81.4555093287127,0.002895108645584864,0.0056744129453463335,0.05983609867712482,0.04848727278643215
0.09,0.05075840144700462,0.23736011977078297,83.89874850079708,0.0028291258691245905,0.005545086703484197,0.05630348815048882,0.04521331474352042
0.1,0.09424042019047625,0.24851483037251942,81.67006795638167,0.0030429120067004983,0.005964107533132977,0.10020452772360923,0.08827631265734327
0.11,0.08525438801622717,0.2574308347195678,81.60882305241266,0.0031544485643940088,0.006182719186212257,0.09143710720243943,0.07907166883001492
0.12,0.08532875749475252,0.2697257251068174,79.52986860293433,0.0033915022097353955,0.006647344331081375,0.09197610182583389,0.07868141316367115
0.13,0.07175017589108915,0.2787715649011846,78.76547467006087,0.003539260901669485,0.00693695136727219,0.07868712725836134,0.06481322452381695
0.14,0.12201260366515837,0.2918123639550038,77.69813382572325,0.003755719083415032,0.007361209403493463,0.12937381306865184,0.1146513942616649
0.15,0.08318231735294146,0.3033204955499665,76.5963445602987,0.003959986567128989,0.007761573671572819,0.09094389102451428,0.07542074368136864
0.16,0.11915724967963384,0.32925183588825824,77.84600182411425,0.0042295278906188645,0.008289874665612974,0.12744712434524683,0.11086737501402087
0.17,0.10526429626774818,0.3351857176557835,77.6595132614157,0.004316093464653698,0.008459543190721248,0.11372383945846942,0.09680475307702693
0.18,0.1524198279576109,0.3413269627345797,78.689262291624,0.00433765615274947,0.008501806059388961,0.16092163401699985,0.14391802189822192
0.19,0.13733000642411644,0.3470316721026204,79.67433714816836,0.004355626724038561,0.00853702837911558,0.14586703480323202,0.12879297804500087
