NumberofTrades,QBS,Category,StDev,SqrtNumRows,SdoverSqrtNum,TimesZ,UpperBound,LowerBound
5,0.4402812302754734,1,0.27431478638110507,9.539392014169456,0.028756003105192465,0.05636176608617723,0.4966429963616506,0.3839194641892962
10,0.44489274835073583,1,0.28506876889383675,9.1104335791443,0.031290362463804046,0.06132911042905593,0.5062218587797918,0.3835636379216799
15,0.44442036666723533,1,0.28998241631611016,8.717797887081348,0.03326326442435958,0.06519599827174478,0.5096163649389801,0.37922436839549056
20,0.4751729450996342,1,0.24382024644298153,8.246211251235321,0.029567547933780632,0.05795239395021004,0.5331253390498443,0.41722055114942413
25,0.47163824495023665,1,0.24969655195014434,8.12403840463596,0.030735520871941677,0.060241620909005686,0.5318798658592423,0.41139662404123095
30,0.4623061676733051,1,0.2507869927136739,8,0.031348374089209236,0.0614428132148501,0.5237489808881552,0.400863354458455
35,0.46708683893492714,1,0.2621597878563861,7.745966692414834,0.03384468308043509,0.06633557883765277,0.5334224177725799,0.40075126009727435
40,0.46735923708073185,1,0.2601682621890914,7.615773105863909,0.034161766451362624,0.06695706224467074,0.5343162993254026,0.4004021748360611
45,0.4549542273467761,1,0.25275424683854736,7.54983443527075,0.033478117832326106,0.06561711095135916,0.5205713382981353,0.3893371163954169
50,0.4468641646829648,1,0.24845814459195828,7.483314773547883,0.03320161614345174,0.06507516764116542,0.5119393323241302,0.38178899704179936
55,0.4422233795655455,1,0.2540765366771157,7.483314773547883,0.033952405366566796,0.06654671451847091,0.5087700940840164,0.37567666504707464
60,0.4413972872159394,1,0.25060056767492067,7.3484692283495345,0.03410241778085332,0.06684073885047251,0.5082380260664119,0.3745565483654669
65,0.43421924932505435,1,0.24391206629137296,7.280109889280518,0.033503898979673014,0.06566764200015911,0.49988689132521347,0.3685516073248952
70,0.4300164456618776,1,0.24485411354121708,7.14142842854285,0.03428643386840993,0.06720141038208347,0.49721785604396107,0.3628150352797941
