"user_id","user_role_id","updated_at","created_at"
1107,3,"2014-02-06 13:35:26.478599","2014-02-06 13:35:26.478599"
1109,3,"2014-02-07 04:31:07.290747","2014-02-07 04:31:07.290747"
1113,3,"2014-02-07 15:27:55.460234","2014-02-07 15:27:55.460234"
1,9,"2014-02-07 18:55:02.887337","2014-02-07 18:55:02.887337"
1116,3,"2014-02-08 21:58:21.792708","2014-02-08 21:58:21.792708"
1119,3,"2014-02-10 22:34:07.638363","2014-02-10 22:34:07.638363"
1121,3,"2014-02-11 00:12:21.762436","2014-02-11 00:12:21.762436"
1123,3,"2014-02-11 19:51:25.218573","2014-02-11 19:51:25.218573"
1124,3,"2014-02-12 12:56:11.272975","2014-02-12 12:56:11.272975"
1127,3,"2014-02-12 19:42:33.850164","2014-02-12 19:42:33.850164"
1130,3,"2014-02-13 13:03:54.927751","2014-02-13 13:03:54.927751"
1134,3,"2014-02-13 13:26:52.804044","2014-02-13 13:26:52.804044"
1135,3,"2014-02-13 13:29:06.029368","2014-02-13 13:29:06.029368"
1137,3,"2014-02-13 13:40:33.901709","2014-02-13 13:40:33.901709"
1138,3,"2014-02-13 13:54:10.93509","2014-02-13 13:54:10.93509"
1139,3,"2014-02-13 14:02:57.239823","2014-02-13 14:02:57.239823"
1140,3,"2014-02-13 15:10:48.563675","2014-02-13 15:10:48.563675"
1141,3,"2014-02-13 15:11:43.924159","2014-02-13 15:11:43.924159"
1143,3,"2014-02-13 16:31:38.731425","2014-02-13 16:31:38.731425"
1147,3,"2014-02-14 09:49:36.805962","2014-02-14 09:49:36.805962"
1148,3,"2014-02-14 10:53:52.936856","2014-02-14 10:53:52.936856"
1150,3,"2014-02-14 15:43:01.31347","2014-02-14 15:43:01.31347"
1151,3,"2014-02-15 02:49:50.00966","2014-02-15 02:49:50.00966"
1152,3,"2014-02-15 08:50:04.647021","2014-02-15 08:50:04.647021"
1154,3,"2014-02-15 17:30:57.794062","2014-02-15 17:30:57.794062"
1155,3,"2014-02-16 10:43:51.081267","2014-02-16 10:43:51.081267"
1156,3,"2014-02-17 05:26:43.215484","2014-02-17 05:26:43.215484"
8,14,"2014-02-17 20:32:03.632684","2014-02-17 20:32:03.632684"
9,13,"2014-02-17 22:28:21.835024","2014-02-17 22:28:21.835024"
1158,3,"2014-02-18 00:56:34.14343","2014-02-18 00:56:34.14343"
1159,3,"2014-02-18 03:26:44.500837","2014-02-18 03:26:44.500837"
102,13,"2014-02-18 08:27:08.733032","2014-02-18 08:27:08.733032"
139,13,"2014-02-18 10:10:31.276045","2014-02-18 10:10:31.276045"
1160,3,"2014-02-19 09:25:22.792382","2014-02-19 09:25:22.792382"
1164,3,"2014-02-20 08:34:18.371413","2014-02-20 08:34:18.371413"
