id,user_id,was_successful
266,2,TRUE
1292,2,TRUE
2317,2,TRUE
3454,2,TRUE
3677,NULL,FALSE
4606,2,TRUE
5142,2,TRUE
5173,2,TRUE
5893,NULL,FALSE
6890,2,TRUE
7183,2,TRUE
8028,8986,TRUE
8394,372,TRUE
8800,8994,TRUE
8676,8920,TRUE
8560,NULL,FALSE
9213,2,TRUE
10553,NULL,FALSE
10889,2,TRUE
11278,9292,TRUE
11542,NULL,FALSE
11544,NULL,FALSE
11498,4769,TRUE
11541,NULL,FALSE
11984,2,TRUE
12310,2,TRUE
13319,218,TRUE
14286,2,TRUE
14223,NULL,FALSE
14127,8920,TRUE
15981,2,TRUE
16050,2,TRUE
17405,45,TRUE
18801,2,TRUE
21058,NULL,FALSE
21097,2,TRUE
21757,NULL,FALSE
21938,2,TRUE
23025,2,TRUE
23497,2,TRUE
23717,2,TRUE
24148,NULL,FALSE
25004,2,TRUE
25429,2,TRUE
25373,NULL,FALSE
25450,2,TRUE
25950,NULL,FALSE
27817,2,TRUE
28788,2,TRUE
28662,2,TRUE
29176,2,TRUE
30106,2,TRUE
31627,NULL,FALSE
31660,NULL,FALSE
31659,NULL,FALSE
32213,2,TRUE
32455,2,TRUE
33223,2,TRUE
33469,2,TRUE
34813,2,TRUE
35670,2,TRUE
35983,2,TRUE
36076,2,TRUE
37001,2,TRUE
37895,NULL,FALSE
38545,NULL,FALSE
39076,NULL,FALSE
39404,2,TRUE
41324,NULL,FALSE
41219,2,TRUE
41486,2,TRUE
42016,176,FALSE
43140,296,TRUE
45120,796,TRUE
45727,NULL,FALSE
45743,2,TRUE
45872,2,TRUE
46314,NULL,FALSE
46148,2,TRUE
46696,2,TRUE
47121,2,TRUE
47953,NULL,FALSE
48094,2,TRUE
48858,2,TRUE
49466,NULL,FALSE
50478,2,TRUE
50867,367,TRUE
50844,2,TRUE
51130,2283,TRUE
52319,2,TRUE
56266,2,TRUE
56563,2,TRUE
57253,2,TRUE
57459,2,TRUE
58002,59,TRUE
58349,2,TRUE
58657,NULL,FALSE
59175,2,TRUE
61073,NULL,FALSE
61077,9998,FALSE
62551,85,TRUE
62560,2,TRUE
63322,2,TRUE
10,59,TRUE
11,2,TRUE
12,8592,TRUE
64569,NULL,FALSE
13,2,TRUE
65048,45,TRUE
66046,NULL,FALSE
66225,2,TRUE
66260,NULL,FALSE
66648,NULL,FALSE
66649,NULL,FALSE
66773,NULL,FALSE
67218,2,TRUE
67754,NULL,FALSE
14,367,TRUE
67730,5122,TRUE
67904,2,TRUE
68376,2,TRUE
15,2,TRUE
68844,796,TRUE
69492,8935,TRUE
16,8593,TRUE
69984,NULL,FALSE
17,2315,TRUE
18,2,TRUE
70370,2,TRUE
70871,9685,TRUE
70982,10027,TRUE
71055,2,TRUE
19,2,TRUE
71751,122,TRUE
71845,2,TRUE
20,2,TRUE
21,7,TRUE
72804,NULL,FALSE
22,2,TRUE
73239,2,TRUE
23,2,TRUE
73469,10188,TRUE
73637,NULL,FALSE
24,8594,TRUE
25,8595,TRUE
75284,2,TRUE
76079,2,TRUE
76230,9845,TRUE
76629,2,TRUE
76739,2,TRUE
26,2,TRUE
77029,2,TRUE
77577,2,TRUE
77703,2,TRUE
27,2,TRUE
78535,NULL,FALSE
28,2,TRUE
78885,2,TRUE
79546,NULL,FALSE
29,2315,TRUE
30,2,TRUE
31,8596,TRUE
81348,NULL,FALSE
32,8597,TRUE
33,2,TRUE
34,2,TRUE
35,2,TRUE
36,2,TRUE
37,2,TRUE
84224,NULL,FALSE
38,2,TRUE
85142,NULL,FALSE
85277,2,TRUE
85669,NULL,FALSE
39,2,TRUE
85822,NULL,FALSE
85997,NULL,FALSE
87159,NULL,FALSE
87155,NULL,FALSE
87668,2,TRUE
87641,2,TRUE
88057,NULL,FALSE
88247,NULL,FALSE
88306,10138,TRUE
88432,NULL,FALSE
40,4,TRUE
