"id","user_id","type","per_trade_limit","total_budget","target","is_power_mode","is_active","start_date","end_date","created_at","updated_at"
35,8636,"recurring","100",NULL,NULL,False,True,"2014-07-09 15:26:05.702692","2014-07-16 15:26:05.702692","2014-07-09 15:26:05.690412","2014-07-09 15:26:05.690412"
36,8640,"recurring","100",NULL,NULL,False,True,"2014-07-09 15:29:43.372667","2014-07-16 15:29:43.372667","2014-07-09 15:29:43.360583","2014-07-09 15:29:43.360583"
37,8641,"recurring","100",NULL,NULL,False,True,"2014-07-09 15:33:53.616876","2014-07-16 15:33:53.616876","2014-07-09 15:33:53.604957","2014-07-09 15:33:53.604957"
38,8644,"recurring","100",NULL,NULL,False,True,"2014-07-09 15:37:28.71699","2014-07-16 15:37:28.71699","2014-07-09 15:37:28.705938","2014-07-09 15:37:28.705938"
39,8647,"recurring","100",NULL,NULL,False,True,"2014-07-09 15:46:04.103819","2014-07-16 15:46:04.103819","2014-07-09 15:46:04.09169","2014-07-09 15:46:04.09169"
40,8650,"recurring","100",NULL,NULL,False,True,"2014-07-09 15:52:44.448282","2014-07-16 15:52:44.448282","2014-07-09 15:52:44.435751","2014-07-09 15:52:44.435751"
41,8653,"recurring","100",NULL,NULL,False,True,"2014-07-09 16:03:27.200146","2014-07-16 16:03:27.200146","2014-07-09 16:03:27.188096","2014-07-09 16:03:27.188096"
42,8655,"recurring","100",NULL,NULL,False,True,"2014-07-09 16:17:09.116083","2014-07-16 16:17:09.116083","2014-07-09 16:17:09.102574","2014-07-09 16:17:09.102574"
43,8657,"recurring","100",NULL,NULL,False,True,"2014-07-09 16:32:07.417556","2014-07-16 16:32:07.417556","2014-07-09 16:32:07.404829","2014-07-09 16:32:07.404829"
44,8659,"recurring","100",NULL,NULL,False,True,"2014-07-09 16:33:32.232262","2014-07-16 16:33:32.232262","2014-07-09 16:33:32.219269","2014-07-09 16:33:32.219269"
45,8668,"recurring","100",NULL,NULL,False,True,"2014-07-09 17:00:45.000262","2014-07-16 17:00:45.000262","2014-07-09 17:00:44.983929","2014-07-09 17:00:44.983929"
46,7129,"recurring","100",NULL,NULL,False,True,"2014-07-09 17:05:34.462456","2014-07-16 17:05:34.462456","2014-07-09 17:05:34.444387","2014-07-09 17:05:34.444387"
47,7129,"recurring","100",NULL,NULL,False,True,"2014-07-09 17:06:33.557311","2014-07-16 17:06:33.557311","2014-07-09 17:06:33.539871","2014-07-09 17:06:33.539871"
63,8711,"recurring","100",NULL,NULL,False,True,"2014-07-09 19:21:48.78506","2014-07-16 19:21:48.78506","2014-07-09 19:21:48.773273","2014-07-09 19:21:48.773273"
48,8676,"recurring","100",NULL,NULL,False,True,"2014-07-09 17:18:08.443876","2014-07-16 17:18:08.443876","2014-07-09 17:18:08.431126","2014-07-09 17:18:08.431126"
49,8680,"recurring","100",NULL,NULL,False,True,"2014-07-09 17:26:04.446796","2014-07-16 17:26:04.446796","2014-07-09 17:26:04.434826","2014-07-09 17:26:04.434826"
50,8681,"recurring","100",NULL,NULL,False,True,"2014-07-09 17:26:12.573124","2014-07-16 17:26:12.573124","2014-07-09 17:26:12.561068","2014-07-09 17:26:12.561068"
51,8682,"recurring","100",NULL,NULL,False,True,"2014-07-09 17:27:05.241977","2014-07-16 17:27:05.241977","2014-07-09 17:27:05.229179","2014-07-09 17:27:05.229179"
52,8683,"recurring","100",NULL,NULL,False,True,"2014-07-09 17:29:30.052591","2014-07-16 17:29:30.052591","2014-07-09 17:29:30.040445","2014-07-09 17:29:30.040445"
54,8685,"recurring","100",NULL,NULL,False,True,"2014-07-09 17:40:03.531499","2014-07-16 17:40:03.531499","2014-07-09 17:40:03.519027","2014-07-09 17:40:03.519027"
55,8688,"recurring","100",NULL,NULL,False,True,"2014-07-09 17:45:16.991624","2014-07-16 17:45:16.991624","2014-07-09 17:45:16.978337","2014-07-09 17:45:16.978337"
56,8691,"recurring","100",NULL,NULL,False,True,"2014-07-09 17:51:32.233991","2014-07-16 17:51:32.233991","2014-07-09 17:51:32.221685","2014-07-09 17:51:32.221685"
57,8690,"recurring","100",NULL,NULL,False,True,"2014-07-09 17:55:44.348872","2014-07-16 17:55:44.348872","2014-07-09 17:55:44.335915","2014-07-09 17:55:44.335915"
58,8693,"recurring","100",NULL,NULL,False,True,"2014-07-09 18:01:28.061421","2014-07-16 18:01:28.061421","2014-07-09 18:01:28.048902","2014-07-09 18:01:28.048902"
59,8699,"recurring","100",NULL,NULL,False,True,"2014-07-09 18:22:46.506985","2014-07-16 18:22:46.506985","2014-07-09 18:22:46.494653","2014-07-09 18:22:46.494653"
60,8704,"recurring","100",NULL,NULL,False,True,"2014-07-09 18:35:23.915762","2014-07-16 18:35:23.915762","2014-07-09 18:35:23.903338","2014-07-09 18:35:23.903338"
64,8712,"recurring","100",NULL,NULL,False,True,"2014-07-09 19:22:53.206818","2014-07-16 19:22:53.206818","2014-07-09 19:22:53.194267","2014-07-09 19:22:53.194267"
65,8723,"recurring","100",NULL,NULL,False,True,"2014-07-09 19:41:31.419034","2014-07-16 19:41:31.419034","2014-07-09 19:41:31.397048","2014-07-09 19:41:31.397048"
66,8726,"recurring","100",NULL,NULL,False,True,"2014-07-09 19:42:00.914447","2014-07-16 19:42:00.914447","2014-07-09 19:42:00.890709","2014-07-09 19:42:00.890709"
67,8730,"recurring","100",NULL,NULL,False,True,"2014-07-09 19:53:14.804552","2014-07-16 19:53:14.804552","2014-07-09 19:53:14.792118","2014-07-09 19:53:14.792118"
68,8735,"recurring","100",NULL,NULL,False,True,"2014-07-09 20:05:39.579665","2014-07-16 20:05:39.579665","2014-07-09 20:05:39.566836","2014-07-09 20:05:39.566836"
69,8736,"recurring","100",NULL,NULL,False,True,"2014-07-09 20:07:31.74973","2014-07-16 20:07:31.74973","2014-07-09 20:07:31.736254","2014-07-09 20:07:31.736254"
70,8737,"recurring","100",NULL,NULL,False,True,"2014-07-09 20:11:06.469459","2014-07-16 20:11:06.469459","2014-07-09 20:11:06.456756","2014-07-09 20:11:06.456756"
71,8741,"recurring","100",NULL,NULL,False,True,"2014-07-09 20:39:48.234524","2014-07-16 20:39:48.234524","2014-07-09 20:39:48.221379","2014-07-09 20:39:48.221379"
72,8744,"recurring","100",NULL,NULL,False,True,"2014-07-09 20:54:58.191818","2014-07-16 20:54:58.191818","2014-07-09 20:54:58.179625","2014-07-09 20:54:58.179625"
73,8752,"recurring","100",NULL,NULL,False,True,"2014-07-09 21:09:05.739789","2014-07-16 21:09:05.739789","2014-07-09 21:09:05.727466","2014-07-09 21:09:05.727466"
74,8753,"recurring","100",NULL,NULL,False,True,"2014-07-09 21:10:11.780562","2014-07-16 21:10:11.780562","2014-07-09 21:10:11.768091","2014-07-09 21:10:11.768091"
75,8754,"recurring","100",NULL,NULL,False,True,"2014-07-09 21:12:09.819315","2014-07-16 21:12:09.819315","2014-07-09 21:12:09.807121","2014-07-09 21:12:09.807121"
11,2075,"recurring",NULL,"0.5",NULL,True,True,"2014-07-09 01:40:21.79087",NULL,"2014-07-09 01:40:21.77841","2014-07-09 01:40:21.77841"
76,8756,"recurring","100",NULL,NULL,False,True,"2014-07-09 21:17:27.626273","2014-07-16 21:17:27.626273","2014-07-09 21:17:27.613862","2014-07-09 21:17:27.613862"
78,8760,"recurring","100",NULL,NULL,False,True,"2014-07-09 21:29:25.723855","2014-07-16 21:29:25.723855","2014-07-09 21:29:25.711508","2014-07-09 21:29:25.711508"
79,8760,"recurring","100",NULL,NULL,False,True,"2014-07-09 21:31:21.619718","2014-07-16 21:31:21.619718","2014-07-09 21:31:21.60597","2014-07-09 21:31:21.60597"
80,8762,"recurring","100",NULL,NULL,False,True,"2014-07-09 21:31:58.760606","2014-07-16 21:31:58.760606","2014-07-09 21:31:58.747798","2014-07-09 21:31:58.747798"
81,8764,"recurring","100",NULL,NULL,False,True,"2014-07-09 21:35:05.35902","2014-07-16 21:35:05.35902","2014-07-09 21:35:05.347205","2014-07-09 21:35:05.347205"
82,8767,"recurring","100",NULL,NULL,False,True,"2014-07-09 21:42:38.015121","2014-07-16 21:42:38.015121","2014-07-09 21:42:38.002795","2014-07-09 21:42:38.002795"
83,8773,"recurring","100",NULL,NULL,False,True,"2014-07-10 00:11:58.73896","2014-07-17 00:11:58.73896","2014-07-10 00:11:58.726716","2014-07-10 00:11:58.726716"
87,8777,"recurring","100",NULL,NULL,False,True,"2014-07-10 03:36:25.256459","2014-07-17 03:36:25.256459","2014-07-10 03:36:25.243937","2014-07-10 03:36:25.243937"
89,3605,"recurring","100",NULL,NULL,False,True,"2014-07-10 04:20:15.699834","2014-07-17 04:20:15.699834","2014-07-10 04:20:15.68737","2014-07-10 04:20:15.68737"
77,8757,"recurring","100",NULL,NULL,False,False,"2014-07-09 21:21:07.639754","2014-07-16 21:21:07.639754","2014-07-09 21:21:07.627574","2014-07-09 21:21:07.627574"
84,8774,"recurring","100",NULL,NULL,False,True,"2014-07-10 00:13:53.54237","2014-07-17 00:13:53.54237","2014-07-10 00:13:53.529995","2014-07-10 00:13:53.529995"
85,8776,"recurring","100",NULL,NULL,False,True,"2014-07-10 00:21:40.655877","2014-07-17 00:21:40.655877","2014-07-10 00:21:40.642855","2014-07-10 00:21:40.642855"
88,8778,"recurring","100",NULL,NULL,False,True,"2014-07-10 03:47:08.228595","2014-07-17 03:47:08.228595","2014-07-10 03:47:08.216159","2014-07-10 03:47:08.216159"
92,8793,"recurring","100",NULL,NULL,False,True,"2014-07-10 05:18:06.895738","2014-07-17 05:18:06.895738","2014-07-10 05:18:06.883251","2014-07-10 05:18:06.883251"
86,7129,"recurring","100",NULL,NULL,False,True,"2014-07-10 03:18:45.943157","2014-07-17 03:18:45.943157","2014-07-10 03:18:45.9239","2014-07-10 03:18:45.9239"
